"BehaviorSpace results (NetLogo 6.3.0)"
"Model2.0.nlogo"
"Experiment 5"
"01/12/2023 10:34:45:242 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tipping-scenario","[step]","count people with [moral-concern-normativity = 1]","count people with [moral-concern-normativity = 1.25]","count people with [moral-concern-normativity = 1.5]","count people with [moral-concern-normativity = 1.75]","count people with [moral-concern-normativity = 2]","count people with [moral-concern-normativity = 2.25]","count people with [moral-concern-normativity = 2.5]","count people with [moral-concern-normativity = 2.75]","count people with [moral-concern-normativity = 3]","mean [moral-concern-normativity] of people with [my-orientation = ""st-otc""]","mean [moral-concern-normativity] of people with [my-orientation = ""otc-se""]","mean [moral-concern-normativity] of people with [my-orientation = ""se-c""]","mean [moral-concern-normativity] of people with [my-orientation = ""c-st""]","mean [moral-concern-normativity] of min-5%-friends","mean [moral-concern-normativity] of max-5%-friends"
"11","Shotgun","0","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"5","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"3","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"7","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"9","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","0","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"5","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","1","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"6","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"10","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"3","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","0","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","2","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"6","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"7","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","1","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"9","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"5","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","3","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"4","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"3","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","2","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"7","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"5","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"10","none","1","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","4","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"5","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","3","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"7","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","5","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"5","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"9","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","6","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","4","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"3","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"10","none","2","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"7","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","6","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"5","none","6","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","7","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","5","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"2","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"9","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"7","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"5","none","7","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"11","Shotgun","7","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"8","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"2","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"6","none","8","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"5","none","8","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"12","Shotgun","6","1900","0","0","0","100","0","0","0","0","1.058","1.052","1.046","1.044","1.03","1.05"
"11","Shotgun","8","1900","0","0","0","100","0","0","0","0","1.034","1.06","1.05","1.056","1.04","1.05"
"7","none","6","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"1","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"10","none","3","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"3","none","4","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"4","none","5","2000","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
