"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"10","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"3","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"5","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"4","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"8","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"9","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"2","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.9999999999999999"
"7","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.9999999999999999"
"6","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1.0000000000000002"
"1","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","1"
"12","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1.0000000000000002"
"11","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1"
"14","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1"
"17","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1.0000000000000002"
"16","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.3329503603867947"
"13","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.9999999999999999"
"15","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1"
"18","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.3323015832389421"
"20","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","1"
"19","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.3384160980446454"
"23","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","1.0000000000000002"
"21","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.4012906096621499"
"22","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","1.0000000000000002"
"24","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.3997549053138791"
"25","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","1.0000000000000002"
"26","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","1.0000000000000002"
"27","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","1"
"28","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.3996544245117572"
"30","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.42193911038130677"
"29","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.406043027917066"
"31","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","1.0000000000000002"
"32","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","1.0000000000000002"
"33","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.2913671781897343"
